-- 1st mean values --
Format: XTAB(V:1;HEAD:2;COL:TCFFFFFFFFFFFFFFFFFFFFFFFF)
StartTime: 2016/05/24 00:00:00
EndTime: 2016/05/25 00:00:00
Period: 24 h
Station: Gia Lam

Time	MeasPt	Wind Spd.	Wind Dir.	Temp	RH	Barometer	Radiation	InnerTemp	NO	NO2	NOx	SO2	CO	O3	PM-10	PM-2.5	PM-1	CH4	NMHC	THC	BENZEN	TOLUEN	ETHYL BENZEN	MP-XYLEN	O-XYLEN
		m/s	degree	°C	%	hPa	W/m²	°C	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	ppm	ppmC	ppmC	ug/m3	ug/m3	ug/m3	ug/m3	ug/m3
2016/05/24 00:05:00		1.5066	147.858	27.6974	0.3625	1006.9	1.10104	26.3166	10.3247	11.4339	21.7586	22.4176	1081.25	149.278	4.73833	3.39333	2.43833								
2016/05/24 00:10:00		2.0559	145.922	27.6943	0.363021	1006.81	1.10104	26.3212	10.9478	11.6428	22.5906	22.5559	1068.96	150.474	4.88833	3.40667	2.71333								
2016/05/24 00:15:00		1.56515	164.91	27.6979	0.366146	1006.75	1.08646	26.3386	12.2074	11.8687	24.0761	22.4176	1052.08	145.828	4.73667	3.23333	2.48667								
2016/05/24 00:20:00		2.10997	156.047	27.699	0.365625	1006.67	1.11563	26.541	14.0655	12.3514	26.4169	22.4081	1089.79	108.132	1.39167	1.01833	0.84333								
2016/05/24 00:25:00		1.76618	147.988	27.6932	0.365104	1006.58	1.15208	26.802	14.1593	11.386	25.5453	22.5702	1090.42	228.976	2.2	1.74667	1.38								
2016/05/24 00:30:00		2.09155	145.124	27.6167	0.358854	1006.51	1.10104	26.9572	12.0957	11.5264	23.6221	22.451	996.88	240.109	5.155	3.575	2.56								
2016/05/24 00:35:00		1.92445	144.493	27.5974	0.365625	1006.42	1.15208	27.0326	11.4168	11.2456	22.6625	22.594	951.88	201.635	4.165	3.095	2.555								
2016/05/24 00:40:00		2.17167	144.79	27.5979	0.358333	1006.34	1.10833	27.0208	10.1505	10.6158	20.7663	22.5034	854.17	169.697	3.91	2.76167	2.25833								
2016/05/24 00:45:00		2.14469	142.726	27.5417	0.363021	1006.25	1.09375	26.9563	9.3956	9.9961	19.3918	22.4272	785.63	149.46	4.425	3.035	2.535								
2016/05/24 00:50:00		1.8655	152.516	27.488	0.358854	1006.2	1.04271	26.8766	8.4621	10.8794	19.3415	22.5797	769.58	145.21	3.235	2.44667	2.055								
2016/05/24 00:55:00		1.99142	148.024	27.4948	0.361458	1006.15	1.10833	26.8084	8.1494	10.3111	18.4605	22.5416	731.67	143.67	2.41	1.715	1.49333								
2016/05/24 01:00:00		1.88627	143.806	27.4917	0.358333	1006.12	1.09375	26.7499	8.7189	9.5237	18.2426	22.4748	717.5	130.198	1.44	1.035	0.87833								
2016/05/24 01:05:00		1.81694	145.409	27.4536	0.3625	1006.12	1.05729	26.9276	8.2857	9.5374	17.8231	22.3986	794.38	119.969	1.41333	1.08	0.89667								
2016/05/24 01:10:00		2.36425	139.858	27.3927	0.358333	1006.1	1.05	27.126	8.4889	9.9174	18.4063	22.4796	815.42	242.002	2.145	1.68167	1.43833								
2016/05/24 01:15:00		1.42313	150.24	27.3932	0.358333	1006.07	1.10833	27.235	8.3973	9.5648	17.9621	22.6655	771.67	226.94	3.475	2.675	2.195								
