-- 1st mean values --
Format: XTAB(V:1;HEAD:2;COL:TCFFFFFFFFFFFFFFFFFFFFFFFF)
StartTime: 2016/07/01 00:00:00
EndTime: 2016/07/02 00:00:00
Period: 24 h
Station: Gia Lam

Time	MeasPt	Wind Spd.	Wind Dir.	Temp	RH	Barometer	Radiation	InnerTemp	NO	NO2	NOx	SO2	CO	O3	PM-10	PM-2.5	PM-1	CH4	NMHC	THC	BENZEN	TOLUEN	ETHYL BENZEN	MP-XYLEN	O-XYLEN
		m/s	degree	°C	%	hPa	W/m²	°C	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	ppm	ppmC	ppmC	ug/m3	ug/m3	ug/m3	ug/m3	ug/m3
2016/07/01 00:05:00		1.76374	132.206	29.3042	0.357292	1004.05	1.14479	26.6884	21.0804	5.6177	26.6981	25.535	1451.88	18.762	27.8467	18.7783	11.01								
2016/07/01 00:10:00		2.09674	133.281	29.3104	0.3625	1003.97	1.15208	26.7166	20.1737	4.54961	24.7233	26.1309	1337.29	18.3369	27.7225	18.5458	10.375								
2016/07/01 00:15:00		1.61197	126.157	29.262	0.356771	1003.91	1.08646	26.7402	19.7985	3.64927	23.4478	26.6981	1227.92	18.2905	26.785	18.135	10.8433								
2016/07/01 00:20:00		1.66897	135.486	29.2057	0.3625	1003.9	1.1375	26.7574	18.6171	3.86837	22.4854	26.3168	1161.04	18.6477	29.3533	19.6633	11.8867								
2016/07/01 00:25:00		2.35979	131.2	29.212	0.359896	1003.88	1.09375	26.7926	18.2285	4.1525	22.381	25.9164	1099.38	18.8834	32.08	21.49	13.515								
2016/07/01 00:30:00		2.47096	133.289	29.2094	0.358854	1003.75	1.11563	26.8506	17.7952	3.58081	21.376	25.9879	1036.88	18.4405	27.9308	18.725	11.6183								
2016/07/01 00:35:00		1.96039	134.433	29.1245	0.357812	1003.66	1.19583	26.9343	17.1029	4.01899	21.1219	25.249	968.54	18.3048	29.0192	19.3433	11.545								
2016/07/01 00:40:00		1.92603	131.712	29.0901	0.359375	1003.6	1.11563	26.9969	16.9577	3.72459	20.6823	25.187	918.96	19.0548	27.6258	19.0258	11.0392								
2016/07/01 00:45:00		1.2977	135.907	28.9995	0.360938	1003.53	1.08646	27.0519	16.3212	4.1525	20.4737	25.1108	862.08	18.5905	15.2608	12.4358	11.2992								
2016/07/01 00:50:00		1.45562	148.148	28.9984	0.359375	1003.45	1.1375	27.1013	17.1475	3.81702	20.9646	24.9869	846.67	19.3941	15.385	12.5317	11.3983								
2016/07/01 00:55:00		2.04278	138.787	29.001	0.358333	1003.33	1.14479	27.1435	17.6768	4.33394	22.0108	25.0679	823.33	19.2941	14.4742	11.7983	10.7292								
2016/07/01 01:00:00		1.68679	135.407	28.9979	0.355729	1003.28	1.13021	27.1896	17.7148	3.34802	21.0628	25.0679	757.29	19.0156	13.7892	11.2417	10.2158								
2016/07/01 01:05:00		1.81791	132.631	29.001	0.364062	1003.24	1.11563	27.2272	18.186	3.81702	22.003	24.9154	739.17	19.1441	12.6642	10.3317	9.3875								
2016/07/01 01:10:00		1.89455	139.4	29.0031	0.357812	1003.17	1.1375	27.2637	18.2932	3.51919	21.8124	24.8057	695.83	19.0477	16.2758	12.6717	10.7767								
2016/07/01 01:15:00		1.21243	137.04	29.001	0.357812	1003.11	1.07187	27.3005	18.1994	3.06388	21.2633	24.7199	666.46	18.7834	12.5867	10.2533	9.325								
2016/07/01 01:20:00		2.28501	138.024	28.9984	0.360417	1003.03	1.13021	27.3368	16.5713	3.67666	20.248	24.9249	605.63	18.8298	11.7342	9.4717	8.4892								
2016/07/01 01:25:00		2.02846	144.254	29.001	0.355729	1002.98	1.05729	27.3609	15.64	2.97145	18.6115	24.739	551.88	18.9048	12.8683	9.8625	8.3417								
2016/07/01 01:30:00		1.60497	141.994	28.9406	0.360417	1002.99	1.10833	27.3907	14.3112	3.45414	17.7653	25.168	527.5	19.4084	13.2408	9.8658	7.8308								
2016/07/01 01:35:00		1.69811	141.461	28.9052	0.352604	1002.97	1.11563	27.4235	13.965	2.1567	16.1217	25.8592	502.5	19.2477	12.385	9.2067	6.9292								
2016/07/01 01:40:00		1.33094	151.081	28.9052	0.357292	1002.94	1.03542	27.4396	12.4129	2.22859	14.6415	25.1966	473.333	18.862	11.2883	8.515	6.7458								
2016/07/01 01:45:00		1.20606	138.726	28.9005	0.360417	1002.88	1.09375	27.4681	11.3431	2.16355	13.5066	24.9487	472.292	19.537	11.1275	8.4167	6.6892								
2016/07/01 01:50:00		1.38283	132.815	28.901	0.3625	1002.75	1.15208	27.489	12.0086	1.88283	13.8915	25.0059	458.958	18.8227	11.56	8.6658	6.7233								
2016/07/01 01:55:00		1.97196	136.735	28.9052	0.35625	1002.67	1.08646	27.5065	11.6692	1.37618	13.0453	24.8581	448.125	18.862	11.4325	8.655	6.7642								
2016/07/01 02:00:00		1.35224	136.855	28.9026	0.360417	1002.63	1.10104	27.5252	10.7937	2.8311	13.6248	24.8486	432.917	19.7192	11.445	8.5183	6.4775								
2016/07/01 02:05:00		1.70231	133.266	28.901	0.360938	1002.59	1.16667	27.5459	10.8518	2.04373	12.8955	25.0536	421.667	19.2941	11.7117	8.54	6.2767								
2016/07/01 02:10:00		1.58011	151.103	28.8109	0.358854	1002.52	1.08646	27.5628	9.6971	2.01292	11.7101	24.6484	395.417	19.012	12.0358	8.5833	6.0075								
2016/07/01 02:15:00		1.8993	140.951	28.8083	0.363021	1002.42	1.14479	27.5786	9.5051	1.81437	11.3194	25.249	352.292	18.9441	10.9683	8.1825	6.1358								
2016/07/01 02:20:00		1.48446	145.572	28.8073	0.360938	1002.41	1.1375	27.5915	8.5782	1.05781	9.636	25.2252	336.25	18.8834	10.1117	7.6658	5.9975								
2016/07/01 02:25:00		1.32457	143.203	28.8104	0.358333	1002.41	1.15208	27.6044	8.2968	1.68086	9.9777	24.944	314.792	18.9977	9.3883	7.295	6.095								
2016/07/01 02:30:00		1.65318	146.001	28.8099	0.360938	1002.38	1.14479	27.6095	7.9239	2.04031	9.9642	25.2347	326.042	18.637	10.8733	8.0633	6.1667								
2016/07/01 02:35:00		1.79211	143.353	28.8089	0.357292	1002.37	1.11563	27.6205	8.1494	1.60897	9.7584	25.1251	332.708	18.837	10.9242	8.2408	6.54								
2016/07/01 02:40:00		1.43222	151.671	28.7964	0.360417	1002.37	1.18125	27.6267	8.1383	1.67059	9.8089	25.087	286.667	18.8334	11.335	8.2875	6.2008								
2016/07/01 02:45:00		1.80593	148.146	28.7078	0.356771	1002.33	1.05729	27.6329	7.7095	1.15366	8.8631	24.8105	282.083	19.3084	13.1217	9.2342	6.2308								
2016/07/01 02:50:00		1.53476	149.433	28.712	0.3625	1002.24	1.09375	27.6425	7.1601	1.54392	8.704	24.7676	263.542	18.8263	11.115	8.2175	6.1942								
2016/07/01 02:55:00		1.59569	152.815	28.7125	0.367188	1002.24	1.08646	27.6519	7.1266	1.71509	8.8417	24.5817	256.875	19.3727	12.44	9.0067	6.1783								
2016/07/01 03:00:00		1.82922	149.792	28.7177	0.3625	1002.16	1.11563	27.6546	7.2807	1.64662	8.9273	24.5865	250.417	18.9263	12.6325	9.2367	6.7983								
2016/07/01 03:05:00		1.8633	150.588	28.7094	0.359896	1002.04	1.09375	27.6699	6.9993	1.48573	8.485	24.4101	252.917	19.0655	11.16	8.3383	6.5258								
2016/07/01 03:10:00		1.78401	141.7	28.6885	0.360938	1001.99	1.10833	27.682	7.3901	1.3933	8.7834	24.3624	248.542	18.8905	11.9083	8.7017	6.3783								
2016/07/01 03:15:00		1.71122	140.667	28.6052	0.357812	1001.9	1.06458	27.6877	7.1132	1.97184	9.085	24.2862	269.792	19.3584	11.7967	8.7267	6.45								
2016/07/01 03:20:00		1.88964	142.043	28.6057	0.358854	1001.76	1.10833	27.6957	7.0372	1.58843	8.6257	24.3767	263.542	19.3834	13.13	9.5317	6.645								
2016/07/01 03:25:00		2.23619	146.934	28.6089	0.3625	1001.72	1.17396	27.6962	6.7893	1.65005	8.4394	24.1336	252.917	18.8477	12.6833	9.2217	6.695								
2016/07/01 03:30:00		2.02609	145.786	28.6094	0.364062	1001.74	1.13021	27.6885	7.0663	0.93799	8.0043	24.5769	260.0	19.537	12.995	9.5283	7.035								
2016/07/01 03:35:00		1.74611	149.788	28.612	0.360938	1001.66	1.10833	27.6783	6.3963	2.1122	8.5085	24.739	258.333	18.9584	13.7067	9.915	6.7867								
2016/07/01 03:40:00		1.33882	155.302	28.6089	0.359896	1001.68	1.10104	27.6707	6.5593	1.86914	8.4284	24.8772	253.125	19.0406	12.6167	9.2833	6.645								
2016/07/01 03:45:00		1.87983	164.198	28.6781	0.360417	1001.72	1.12292	27.6697	6.4141	1.56446	7.9786	24.7342	259.167	19.2977	10.965	8.1583	6.3333								
2016/07/01 03:50:00		1.6596	147.551	28.7135	0.359375	1001.72	1.13021	27.6638	6.1551	1.65005	7.8051	24.3672	265.625	19.3834	12.04	8.6467	6.265								
2016/07/01 03:55:00		2.09986	151.062	28.6495	0.360938	1001.67	1.08646	27.6638	6.3404	1.04412	7.3846	24.3863	270.417	19.7799	11.7717	8.6808	6.3325								
2016/07/01 04:00:00		2.04211	147.166	28.6177	0.359896	1001.74	1.15208	27.6568	5.4337	1.65347	7.0872	24.596	276.25	19.4692	12.2225	8.9558	6.4408								
2016/07/01 04:05:00		2.03601	145.761	28.7052	0.357292	1001.82	1.10104	27.6487	6.3248	0.32864	6.6534	24.6341	278.333	19.4799	11.2808	8.4667	6.6025								
2016/07/01 04:10:00		2.66663	138.34	28.7125	0.361458	1001.81	1.05729	27.6493	6.1908	1.585	7.7758	24.3529	303.125	19.0905	11.4658	8.4383	6.4475								
2016/07/01 04:15:00		2.48708	141.685	28.7125	0.356771	1001.82	1.10104	27.6581	6.1841	0.468997	6.6531	24.3672	308.75	18.9834	10.7633	8.1067	6.325								
2016/07/01 04:20:00		2.46907	151.825	28.7109	0.361458	1001.81	1.11563	27.6801	6.3181	0.403953	6.7221	24.4054	288.958	19.1227	10.21	7.7342	6.1258								
