-- 1st mean values --
Format: XTAB(V:1;HEAD:2;COL:TCFFFFFFFFFFFFFFFFFFFFFFFF)
StartTime: 2016/07/26 00:00:00
EndTime: 2016/07/27 00:00:00
Period: 24 h
Station: Gia Lam

Time	MeasPt	Wind Spd.	Wind Dir.	Temp	RH	Barometer	Radiation	InnerTemp	NO	NO2	NOx	SO2	CO	O3	PM-10	PM-2.5	PM-1	CH4	NMHC	THC	BENZEN	TOLUEN	ETHYL BENZEN	MP-XYLEN	O-XYLEN
		m/s	degree	°C	%	hPa	W/m²	°C	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	ppm	ppmC	ppmC	ug/m3	ug/m3	ug/m3	ug/m3	ug/m3
2016/07/26 00:05:00		2.1542	154.869	30.574	0.361979	1006.77	1.18125	27.4487	22.5232	15.0695	37.5927	23.9334	860.0	20.0656	23.68	16.02	11.8275								
2016/07/26 00:10:00		2.16779	154.916	30.5172	0.361458	1006.75	1.14479	27.5113	17.9917	13.327	31.3188	23.7857	872.5	19.8049	23.3208	15.8917	11.8125								
2016/07/26 00:15:00		1.75609	151.303	30.5109	0.360417	1006.74	1.12292	27.6181	17.0649	12.9676	30.0325	23.8905	846.04	20.7407	22.4908	15.6492	11.8767								
2016/07/26 00:20:00		1.86873	161.047	30.437	0.367188	1006.74	1.11563	27.74	15.0683	11.0163	26.0846	23.8143	789.37	21.155	26.1792	17.7517	12.5475								
2016/07/26 00:25:00		2.16013	150.544	30.4151	0.3625	1006.71	1.09375	27.8396	20.7052	12.8923	33.5975	23.881	757.92	20.5871	30.6017	20.5325	12.3608								
2016/07/26 00:30:00		2.20145	149.489	30.4141	0.3625	1006.63	1.10833	27.9167	20.3256	14.224	34.5495	23.9525	719.58	20.3013	26.5108	18.1075	12.4733								
2016/07/26 00:35:00		2.3831	150.349	30.4125	0.363021	1006.55	1.15208	27.9942	18.5813	12.6492	31.2306	23.8238	688.54	20.8085	25.9258	17.5883	11.7808								
2016/07/26 00:40:00		1.98617	151.313	30.3167	0.360938	1006.6	1.10104	28.049	18.2419	12.2795	30.5214	24.0383	660.21	20.4406	22.4158	15.2283	11.4208								
2016/07/26 00:45:00		2.02105	148.844	30.3177	0.363542	1006.55	1.15208	28.0877	17.5093	13.4845	30.9938	23.9287	641.25	20.3656	22.3892	15.495	11.315								
2016/07/26 00:50:00		1.68362	145.945	30.3193	0.364583	1006.49	1.12292	28.1271	19.5037	14.0904	33.5941	23.9239	628.33	20.1085	21.96	14.9	10.8492								
2016/07/26 00:55:00		2.02752	141.173	30.3198	0.364062	1006.47	1.13021	28.165	20.6427	12.971	33.6137	24.1336	622.29	20.1049	23.0008	16.0017	11.0017								
2016/07/26 01:00:00		1.46707	158.261	30.3151	0.364583	1006.41	1.09375	28.2039	22.8515	16.165	39.0164	24.1146	601.88	19.8799	21.8367	14.8725	10.6117								
2016/07/26 01:05:00		1.72869	153.172	30.3193	0.361458	1006.32	1.08646	28.234	18.6595	15.0592	33.7187	24.1432	573.54	20.7942	22.5975	15.485	10.7442								
2016/07/26 01:10:00		1.30047	153.11	30.3193	0.361458	1006.26	1.07917	28.2606	31.988	18.2737	50.262	24.4387	573.33	20.3228	26.0408	17.6183	11.3025								
2016/07/26 01:15:00		1.60968	150.445	30.3219	0.360938	1006.26	1.12292	28.2797	27.1104	16.9352	44.0457	24.024	576.25	20.4621	26.2433	17.6567	11.66								
2016/07/26 01:20:00		1.86885	160.669	30.3167	0.361979	1006.26	1.09375	28.2987	30.8423	17.7021	48.5444	24.2194	593.33	21.2085	21.815	14.87	11.26								
2016/07/26 01:25:00		1.516	165.836	30.2427	0.363542	1006.21	1.11563	28.3159	20.2385	14.6005	34.839	23.881	580.83	20.4656	22.23	15.2117	11.4267								
2016/07/26 01:30:00		1.69252	148.665	30.2203	0.361979	1006.15	1.09375	28.333	24.6203	14.7066	39.3269	23.8476	580.0	19.9085	24.74	16.7667	11.865								
2016/07/26 01:35:00		1.0491	146.905	30.2182	0.360938	1006.2	1.10104	28.339	27.9502	16.7264	44.6766	24.167	559.58	20.6657	22.7483	15.64	11.5217								
2016/07/26 01:40:00		1.16781	139.818	30.125	0.359375	1006.18	1.07187	28.3424	24.2428	14.9737	39.2165	23.9001	552.71	20.2156	23.9417	16.3217	11.4233								
2016/07/26 01:45:00		1.11015	136.159	30.124	0.359375	1006.12	1.02813	28.3382	21.2546	14.2171	35.4717	24.024	536.25	19.912	21.8383	14.9667	11.1483								
2016/07/26 01:50:00		1.17123	142.273	30.1208	0.361979	1006.1	1.11563	28.3427	16.8058	14.0631	30.8689	23.9811	532.08	20.6264	21.87	14.9192	11.0242								
2016/07/26 01:55:00		1.14934	153.948	30.0078	0.363542	1006.14	1.03542	28.3309	21.1832	16.2163	37.3995	24.1956	510.21	20.8299	26.2192	17.575	11.7567								
2016/07/26 02:00:00		1.24054	149.068	30.0125	0.363542	1006.14	1.06458	28.3199	29.1696	17.168	46.3376	23.9811	526.88	21.0193	32.3017	21.64	12.4433								
2016/07/26 02:05:00		1.22099	139.782	30.0135	0.357812	1006.12	1.05729	28.3178	30.8647	14.7854	45.65	23.9859	556.04	20.2513	25.3625	17.1742	11.8542								
2016/07/26 02:10:00		1.20029	149.212	30.0141	0.360417	1006.08	1.07917	28.3172	42.9023	17.9109	60.813	24.1527	545.83	21.0014	22.485	15.3008	11.365								
2016/07/26 02:15:00		1.43676	147.963	30.0125	0.357292	1006.07	1.09375	28.3009	25.8866	12.7485	38.6351	24.0717	535.83	20.7871	21.7342	15.3708	11.6483								
2016/07/26 02:20:00		1.61736	151.017	29.9609	0.361979	1006.1	1.03542	28.2872	21.5986	11.8858	33.4844	24.0335	519.58	20.9978	21.4042	14.6617	11.5592								
2016/07/26 02:25:00		1.13634	133.093	29.9125	0.360938	1006.11	1.05729	28.2805	18.8516	12.1597	31.0112	23.819	502.71	19.8477	23.55	16.0767	11.85								
2016/07/26 02:30:00		0.8748	152.545	29.9161	0.364062	1006.06	1.11563	28.278	21.3998	14.3814	35.7812	23.9382	490.833	20.3728	25.3008	17.1233	11.7733								
2016/07/26 02:35:00		1.00597	136.697	29.9151	0.364583	1006.03	1.12292	28.2703	17.4334	15.3673	32.8007	24.0192	494.375	19.9763	24.6067	16.6067	12.0033								
2016/07/26 02:40:00		0.67423	148.402	29.9089	0.364583	1005.99	1.07917	28.2662	20.9844	16.3635	37.3479	24.0621	488.333	19.8835	27.68	18.9392	12.2608								
2016/07/26 02:45:00		1.2954	155.27	29.8505	0.359896	1005.98	1.07187	28.2716	20.837	16.1581	36.9951	24.0621	473.333	20.4728	24.2233	16.5808	12.2508								
2016/07/26 02:50:00		1.09171	154.95	29.8177	0.361458	1006.04	1.09375	28.2617	20.6717	16.8017	37.4734	23.9906	485.625	20.3585	28.175	18.9033	12.9325								
2016/07/26 02:55:00		1.36215	162.648	29.8172	0.363542	1006.05	1.10833	28.2617	18.1838	14.9805	33.1643	23.9191	486.875	20.3478	24.8475	17.0092	12.3467								
2016/07/26 03:00:00		1.09413	161.581	29.8141	0.363542	1006.02	1.08646	28.2598	14.6797	12.2145	26.8942	24.2528	477.917	19.9692	24.1158	16.6733	12.1758								
2016/07/26 03:05:00		1.31983	162.567	29.8172	0.363542	1006.02	1.10104	28.2469	18.5188	12.5054	31.0242	24.2623	482.083	20.4049	25.1917	17.21	12.0525								
2016/07/26 03:10:00		1.27987	154.177	29.8146	0.363542	1006.04	1.14479	28.2504	20.2139	12.8307	33.0445	24.1718	518.75	19.8335	30.6975	20.7417	13.18								
2016/07/26 03:15:00		1.16932	158.453	29.8161	0.363021	1006.08	1.09375	28.2319	26.4092	13.9124	40.3216	24.3195	517.29	20.4549	28.0592	18.8083	13.2408								
2016/07/26 03:20:00		0.99801	131.831	29.8172	0.364583	1006.05	1.11563	28.2243	21.4244	12.7348	34.1592	24.2194	556.67	20.6299	25.5217	17.5617	13.5825								
2016/07/26 03:25:00		1.31576	139.266	29.8156	0.359896	1005.94	1.15937	28.212	17.3865	10.5918	27.9783	24.2004	591.46	20.3799	25.28	17.7358	13.7717								
2016/07/26 03:30:00		1.4417	165.956	29.7365	0.361979	1005.87	1.13021	28.201	23.6957	12.9539	36.6496	24.3672	592.92	20.9764	27.6508	18.9192	14.2975								
2016/07/26 03:35:00		1.17284	152.63	29.7224	0.364062	1005.85	1.13021	28.1849	17.2413	11.1327	28.374	24.2194	606.25	20.3835	26.975	18.8817	14.2217								
2016/07/26 03:40:00		1.0879	145.755	29.7193	0.3625	1005.82	1.1375	28.1768	15.1554	10.8999	26.0553	24.0049	616.67	20.3656	26.6817	18.6708	14.4592								
2016/07/26 03:45:00		1.01393	153.415	29.6724	0.361979	1005.8	1.15937	28.1583	15.2492	10.8622	26.1114	24.0812	638.54	19.9728	31.2733	21.1775	15.3633								
2016/07/26 03:50:00		1.02846	136.311	29.6187	0.3625	1005.82	1.17396	28.1513	15.5775	11.7181	27.2956	24.229	637.92	20.2049	30.9375	20.96	15.96								
2016/07/26 03:55:00		1.28069	128.015	29.624	0.361979	1005.8	1.12292	28.1411	13.1476	10.6363	23.7839	24.2051	648.13	20.3442	32.6583	22.4417	16.8883								
2016/07/26 04:00:00		1.42571	127.699	29.6214	0.359896	1005.81	1.14479	28.1379	13.2325	11.1361	24.3686	24.0097	650.42	19.8692	34.5433	23.6783	17.3767								
