-- 1st mean values --
Format: XTAB(V:1;HEAD:2;COL:TCFFFFFFFFFFFFFFFFFFFFFFFF)
StartTime: 2015/08/22 00:00:00
EndTime: 2015/08/23 00:00:00
Period: 24 h
Station: Gia Lam

Time	MeasPt	Wind Spd.	Wind Dir.	Temp	RH	Barometer	Radiation	InnerTemp	NO	NO2	NOx	SO2	CO	O3	PM-10	PM-2.5	PM-1	CH4	NMHC	THC	BENZEN	TOLUEN	ETHYL BENZEN	MP-XYLEN	O-XYLEN
		m/s	degree	°C	%	hPa	W/m²	°C	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	µg/m3	ppm	ppmC	ppmC	ug/m3	ug/m3	ug/m3	ug/m3	ug/m3
2015/08/22 00:05:00		1.32872	210.601	32.3771	0.355208	1003.78	1.09375	28.0877	13.1454	76.019	89.164	25.1585	2364.79	37.5132	70.287	28.7783	20.7058				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:10:00		1.35053	214.927	32.3698	0.354688	1003.74	1.05729	27.8734	8.6184	43.0792	51.698	24.7247	2282.08	36.0131	68.377	28.4758	20.69				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:15:00		0.80799	222.189	32.375	0.354167	1003.74	1.04271	27.697	0.59407	2.35525	2.94932	24.7152	2214.17	35.2274	78.773	31.8658	21.1783				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:20:00		0.94007	215.122	32.376	0.354167	1003.74	1.02813	27.5816	0.3886	1.70824	2.09684	24.1336	2220.83	36.4489	80.061	29.3825	20.8025				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:25:00		0.72386	215.224	32.3724	0.35625	1003.71	1.01354	27.4895	91.953	1.45149	93.405	24.1479	2204.38	35.6488	71.845	31.01	20.9525				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:30:00		1.37312	215.902	32.3729	0.352604	1003.67	1.02083	27.4281	211.635	0.496383	212.132	24.3767	2176.67	36.0238	72.786	30.02	20.6158				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:35:00		1.17857	220.313	32.362	0.356771	1003.66	1.04271	27.377	213.194	0.407377	213.601	23.452	2018.54	35.4238	54.188	25.6858	19.095				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:40:00		0.89325	220.007	32.2802	0.35625	1003.64	1.09375	27.3161	216.611	0.342333	216.953	23.7857	1833.13	35.4738	63.437	27.0208	19.2517				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:45:00		0.66243	220.156	32.2755	0.354167	1003.66	1.02813	27.2919	141.683	35.6129	177.296	23.5759	1704.58	34.7738	95.234	31.2583	19.8792				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:50:00		0.55766	289.889	32.2781	0.354688	1003.6	1.02813	27.3209	26.5141	75.443	101.958	23.5283	1614.79	33.2487	93.451	30.2725	20.0317				0.0	0.0	0.0	0.0	0.0
2015/08/22 00:55:00		0.53913	327.959	32.2724	0.356771	1003.57	1.06458	27.3741	57.669	86.716	144.386	23.7523	1533.54	36.0167	78.122	30.9183	21.175				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:00:00		0.63948	318.658	32.2531	0.353125	1003.58	1.00625	27.4251	36.0527	79.264	115.317	23.9239	1500.63	37.0632	78.518	31.9833	22.1867				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:05:00		0.55335	322.763	32.1771	0.357292	1003.59	1.01354	27.4305	56.675	84.012	140.687	23.657	1495.0	37.1632	76.673	30.61	21.215				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:10:00		0.0	502.0	32.0911	0.35625	1003.59	1.00625	27.4248	24.8101	78.422	103.232	23.2995	1479.17	35.6631	67.243	28.855	20.6517				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:15:00		0.51914	311.77	31.9995	0.358333	1003.54	1.03542	27.4066	36.9795	81.749	118.729	23.0754	1510.42	35.9131	147.877	41.23	22.73				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:20:00		0.53438	320.85	31.9276	0.353646	1003.5	1.02083	27.3961	73.151	82.985	156.136	23.1088	1555.63	36.1131	157.282	40.4267	23.9133				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:25:00		0.71298	334.931	31.8068	0.355208	1003.47	1.05	27.3776	53.301	82.16	135.461	22.4462	1642.71	37.7382	83.717	36.815	25.66				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:30:00		0.60898	328.098	31.6922	0.354688	1003.47	1.02083	27.3427	61.339	78.788	140.127	22.0029	1685.83	38.2633	89.85	38.6767	27.1667				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:35:00		0.6656	309.427	31.5531	0.359896	1003.44	1.05	27.3207	73.818	76.515	150.333	21.655	1728.96	39.2133	120.791	43.1358	27.89				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:40:00		0.55982	323.422	31.4406	0.351563	1003.42	1.00625	27.3024	89.492	73.927	163.419	21.6597	1749.79	40.7634	98.149	40.3125	27.5033				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:45:00		0.56735	311.462	31.324	0.403125	1003.39	1.03542	27.268	82.412	70.836	153.248	21.3737	1730.0	40.3634	89.185	39.7233	27.2883				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:50:00		0.60225	289.738	31.2167	0.68594	1003.37	1.02083	27.2396	87.772	69.374	157.146	21.5024	1697.92	41.5135	93.254	38.9933	26.79				0.0	0.0	0.0	0.0	0.0
2015/08/22 01:55:00		0.54037	340.061	31.1057	0.51927	1003.32	1.05729	27.1988	64.298	69.062	133.36	21.4214	1653.75	42.0385	74.313	36.2033	25.9733				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:00:00		0.83735	331.994	31.0026	1.5375	1003.27	1.03542	27.1588	86.803	71.596	158.399	21.4262	1627.71	41.4635	76.114	38.2592	26.9142				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:05:00		0.66974	30.003	31.0536	2.80938	1003.24	1.07917	27.1102	87.643	67.782	155.425	21.4929	1616.25	41.4135	71.698	39.9825	28.215				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:10:00		0.51624	53.836	31.0042	2.48177	1003.2	1.03542	27.0721	64.398	65.033	129.431	21.0115	1548.96	42.8636	55.516	37.2967	27.8642				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:15:00		1.10363	57.832	30.8875	3.30938	1003.18	1.05	27.0256	55.239	62.407	117.647	21.0401	1461.67	41.9885	56.81	37.945	27.985				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:20:00		1.27812	59.621	30.8078	3.4474	1003.14	1.00625	26.9977	73.825	62.781	136.606	20.5682	1425.0	41.6885	67.061	42.0717	28.8633				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:25:00		0.96449	23.6243	30.8042	2.03385	1003.06	1.07187	26.9781	56.637	64.455	121.092	20.2679	1413.13	42.2635	72.452	39.3783	28.8092				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:30:00		0.62481	7.2015	30.7495	1.49635	1003.04	1.01354	26.9719	22.608	64.742	87.35	20.3537	1351.46	39.6884	63.063	36.3275	27.3058				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:35:00		0.153253	21.4433	30.6276	1.78698	1003.02	1.05	26.9958	18.5545	68.378	86.932	20.7159	1264.38	42.7136	61.833	35.7125	27.3483				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:40:00		0.51824	14.7971	30.513	2.78281	1002.99	1.03542	26.9553	17.5786	72.472	90.051	21.1306	1236.04	43.1886	69.831	44.8917	33.8533				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:45:00		0.63042	1.12365	30.4943	3.27813	1002.94	1.01354	26.9029	15.5842	70.254	85.838	21.1592	1228.13	41.6885	72.982	49.2842	39.0567				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:50:00		0.66274	9.9184	30.4922	3.76875	1002.87	1.06458	26.8191	9.9249	66.55	76.475	21.5072	1221.88	44.0886	83.565	58.056	48.1575				0.0	0.0	0.0	0.0	0.0
2015/08/22 02:55:00		0.72674	13.7694	30.4208	5.1266	1002.84	1.10104	26.7118	7.7072	58.238	65.945	21.4643	1226.25	47.1639	84.378	60.747	51.572				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:00:00		0.214774	1.59672	30.3974	6.3094	1002.9	1.03542	26.6645	17.3954	54.825	72.22	21.3356	1223.96	49.064	85.421	61.488	52.195				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:05:00		0.59947	7.2583	30.3042	8.0609	1002.85	1.09375	26.7182	14.8271	50.593	65.421	20.8732	1226.67	51.614	82.819	62.217	53.387				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:10:00		0.65704	352.843	30.2714	10.1844	1002.8	1.05	26.7421	21.0157	48.4367	69.452	21.0591	1242.08	53.889	81.387	62.028	53.936				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:15:00		0.87877	19.7096	30.1812	12.3276	1002.74	1.05729	26.7228	15.9616	44.9381	60.9	21.164	1238.96	54.439	82.126	61.35	53.166				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:20:00		0.417585	333.731	30.1005	15.0182	1002.67	1.02813	26.7174	21.4333	44.4212	65.854	21.2498	1247.5	53.789	86.964	65.299	54.76				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:25:00		0.51249	307.346	30.0292	16.8807	1002.59	1.09375	26.6908	19.0481	43.4969	62.545	21.2117	1236.25	53.389	90.255	66.576	53.679				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:30:00		0.70501	320.053	29.9479	18.5557	1002.62	1.10104	26.646	13.9137	42.0796	55.993	21.1259	1229.79	53.339	90.119	62.843	48.3408				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:35:00		0.74054	323.873	29.8781	20.1094	1002.6	1.10833	26.5931	14.9723	39.115	54.087	20.9161	1212.29	52.114	77.009	54.65	45.36				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:40:00		0.83082	329.721	29.7974	21.5266	1002.63	1.13021	26.5365	9.5185	35.6472	45.1656	20.7159	1192.92	49.9641	70.968	51.401	43.135				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:45:00		0.70707	328.734	29.7214	22.8943	1002.59	1.11563	26.4948	9.5118	33.8773	43.3891	20.5396	1155.83	48.6389	62.924	48.1325	40.9767				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:50:00		0.277724	41.1355	29.6807	24.5922	1002.59	1.07187	26.4382	8.0936	32.7373	40.8309	20.163	1120.42	46.6495	66.312	52.744	43.4083				0.0	0.0	0.0	0.0	0.0
2015/08/22 03:55:00		0.0	502.0	29.601	26.3557	1002.62	1.08646	26.3638	9.9696	31.6316	41.6012	20.0963	1133.13	45.1244	68.489	54.174	44.5617				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:00:00		0.54618	350.092	29.6021	27.576	1002.61	1.03542	26.3236	14.2308	31.5871	45.8179	19.9533	1141.46	45.0244	69.129	54.239	44.6892				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:05:00		0.64322	334.951	29.5995	28.3714	1002.63	1.10104	26.2922	22.0609	33.309	55.37	19.7626	1164.79	44.0744	73.316	53.7	44.2733				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:10:00		0.424251	356.044	29.6026	28.826	1002.66	1.04271	26.2237	15.046	32.104	47.15	19.2859	1187.71	43.7994	66.827	52.665	43.9133				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:15:00		0.81941	321.693	29.5698	29.0505	1002.73	1.09375	26.1606	8.6408	30.7552	39.396	19.2573	1184.38	43.1743	70.007	53.336	44.7992				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:20:00		0.80019	316.201	29.487	29.3932	1002.8	1.10833	26.1453	6.4365	29.1976	35.6341	19.1811	1185.21	43.5493	73.64	53.742	44.32				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:25:00		0.65828	324.114	29.488	29.8573	1002.87	1.12292	26.076	13.9248	29.0367	42.9615	18.5614	1172.29	43.3993	70.923	53.558	44.515				0.0	0.0	0.0	0.0	0.0
2015/08/22 04:30:00		1.02293	321.132	29.425	30.2599	1002.9	1.13021	26.0325	14.4005	28.1911	42.5917	18.2611	1165.83	42.5243	70.368	52.525	43.63				0.0	0.0	0.0	0.0	0.0
